Data;PIB per capita
1900;8.0687E-17
1901;7.3810E-17
1902;6.5848E-17
1903;6.6369E-17
1904;6.9147E-17
1905;6.1998E-17
1906;8.2482E-17
1907;7.6371E-17
1908;7.3255E-17
1909;7.6946E-17
1910;7.9875E-17
1911;8.3826E-17
1912;9.3450E-17
1913;8.3073E-17
1914;6.9235E-17
1915;7.6617E-17
1916;9.1157E-17
1917;1.0597E-16
1918;1.0997E-16
1919;1.2631E-16
1920;1.6579E-16
1921;1.4045E-16
1922;1.6240E-16
1923;2.2587E-16
1924;2.5041E-16
1925;2.9218E-16
1926;2.4838E-16
1927;2.6546E-16
1928;3.2584E-16
1929;3.1342E-16
1930;2.6546E-16
1931;2.2585E-16
1932;2.3609E-16
1933;2.4848E-16
1934;2.8436E-16
1935;3.0255E-16
1936;3.3963E-16
1937;3.8282E-16
1938;4.0605E-16
1939;4.1755E-16
1940;4.3328E-16
1941;4.9164E-16
1942;5.4526E-16
1943;6.7580E-16
1944;8.5854E-16
1945;9.9549E-16
1946;1.2432E-15
1947;1.3532E-15
1948;1.5327E-15
1949;1.7407E-15
1950;1.9706E-15
1951;2.3733E-15
1952;2.7108E-15
1953;3.1396E-15
1954;4.1769E-15
1955;4.9176E-15
1956;6.0229E-15
1957;7.0897E-15
1958;8.5603E-15
1959;1.2386E-14
1960;1.6488E-14
1961;2.3392E-14
1962;3.6372E-14
1963;6.3402E-14
1964;1.2072E-13
1965;1.9093E-13
1966;2.7322E-13
1967;3.5037E-13
1968;4.7433E-13
1969;6.0695E-13
1970;7.5865E-13
1971;9.8253E-13
1972;1.2850E-12
1973;1.8502E-12
1974;2.6273E-12
1975;3.6106E-12
1976;5.4865E-12
1977;8.1722E-12
1978;1.1580E-11
1979;1.8643E-11
1980;3.8220E-11
1981;7.1720E-11
1982;1.4214E-10
1983;3.1246E-10
1984;9.7281E-10
1985;3.5824E-09
1986;9.4090E-09
1987;2.9279E-08
1988;2.0931E-07
1989;2.9832E-06
1990;7.9742E-05
1991;4.1060E-04
1992;4.3114E-03
1993;0.09
1994;2.29
1995;4.57
1996;5.44
1997;5.95
1998;6.13
1999;6.52
2000;7.06
2001;7.63
2002;8.52
2003;9.72
2004;10.97
2005;12.04
2006;13.23
2007;14.79
2008;16.71
2009;17.69
2010;20.37
2011;22.68
2012;24.68
2013;27.06
2014;29.06
2015;29.92
2016;31.08
2017;32.47
2018;34.41
2019;36.22
2020;37.29
2021;44.22
2022;49.63
